xmin,ymin,xmax,ymax,confidence,class
137,66,145,74,1.0,"Alexander the Great, of Macedon; Greek geographer (356-323 B.C.)."
128,168,136,176,1.0,"D'Ailly, Pierre; French geographer (1350-1420)."
253,108,261,116,1.0,"John Fillmore; American civil engineer, geodesist (1868-1925)."
340,168,348,176,1.0,Jean-Baptiste Joseph; French mathematician (1768-1830).
223,57,231,65,1.0,Percy Williams; American physicist; Nobel laureate (1882-1961).
144,121,152,129,1.0,Nevil; British astronomer (1732-1811).
315,66,323,74,1.0,Abu Ali Al-Hussein Ibn Abdallah; Persian doctor (980-1037).
237,161,245,169,1.0,Daniel; French astronomer (1907-1965).
136,185,144,193,1.0,Francesco; Italian mathematician (1537-1604).
354,198,362,206,1.0,Johann; German astronomer (1572-1625).
276,46,284,54,1.0,George David; American mathematician (1884-1944).
212,169,220,177,1.0,Janos; Hungarian mathematician (1802-1860).
131,107,139,115,1.0,Rudjer J.; Italian physicist (1711-1787).
327,85,335,93,1.0,Henry; British mathematician (1561-1630).
367,190,375,198,1.0,"Ernest William; British astronomer, mathematician (1866-1938)."
135,179,143,187,1.0,Christian Leopold von; German geologist (1774-1853).
363,157,371,165,1.0,"Boulliau, Ismael; French astronomer (1605-1694)."
366,156,374,164,1.0,"Boulliau, Ismael; French astronomer (1605-1694)."
317,61,325,69,1.0,Robert Wilhelm Eberhard; German chemist (1811-1899).
251,96,259,104,1.0,Christoph Hendrik Diederik; Dutch meteorologist (1817-1890).
336,161,344,169,1.0,"Burgi, Joost; Swiss horologist (1552-1632)."
129,71,137,79,1.0,Calippus of Cyzicus; Greek astronomer (c. 370 B.C.).
130,67,138,75,1.0,Calippus of Cyzicus; Greek astronomer (c. 370 B.C.).
180,96,188,104,1.0,Annie Jump; American astronomer (1863-1941).
359,174,367,182,1.0,Francesco Capuano Di Manfredonia; Italian astronomer (c. 1400-unkn).
127,66,135,74,1.0,Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).
127,63,135,71,1.0,Giovanni Domenico; Italian-French astronomer (1625-1712); Jacques; French astronomer (1677-1756).
134,189,142,197,1.0,Alexis Claude; French mathematician (1713-1765).
172,107,180,115,1.0,Jean de; French mathematician (1743-1794).
149,141,157,149,1.0,"Louis-Jacques-Mandé; French artist, chemist, photographer (1789-1851)."
343,162,351,170,1.0,Annibale; Italian astronomer (1819-1892).
334,150,342,158,1.0,Francesco; Italian astronomer (1805-1848).
137,125,145,133,1.0,Jean-Baptiste Joseph; French astronomer (1749-1822).
291,69,299,77,1.0,Andrew Ellicott; American astronomer (1867-1962).
343,180,351,188,1.0,Cornelius; Dutch inventor (1572-1634).
175,114,183,122,1.0,Dmitrij Ivanovich; Russian astronomer (1850-1918); Alexander Dmitrievich; Soviet astronomer (1903-1959).
131,53,139,61,1.0,Hans; Danish natural historian (1686-1758).
264,74,272,82,1.0,John; British astronomer (1864-1956).
369,104,377,112,1.0,"Greek astronomer, geographer (c. 276-196 B.C.)."
377,129,385,137,1.0,Camille; French astronomer (1842-1925).
346,127,354,135,1.0,John; British astronomer (1646-1719).
280,91,288,99,1.0,John Stuart; Canadian physicist (1890-1964).
341,166,349,174,1.0,Jean-Baptiste Joseph; French mathematician (1768-1830).
333,119,341,127,1.0,"Howelcke, Johann; Polish astronomer (1611-1687)."
158,80,166,88,1.0,Greek astronomer (unkn-c. 70 B.C.).
319,57,327,65,1.0,Alexander; Scottish explorer (1792-1839).
149,156,157,164,1.0,"Fracastoro, Girolamo; Italian doctor, astronomer (1483-1553)."
155,71,163,79,1.0,Benjamin; American inventor (1706-1790).
167,180,175,188,1.0,"Joseph von; German astronomer, optician (1787-1826)."
182,72,190,80,1.0,Karl Friedrich; German mathematician (1777-1855).
170,174,178,182,1.0,"Fournier, Georges: French mathematician (1595-1652)."
169,175,177,183,1.0,"Fournier, Georges: French mathematician (1595-1652)."
332,106,340,114,1.0,"Galileo; Italian astronomer, physicist (1564-1642)."
370,139,378,147,1.0,"Otto von; German physicist, engineer, naturalist (1602-1686)."
333,102,341,110,1.0,"Galileo; Italian astronomer, physicist (1564-1642)."
128,136,136,144,1.0,Edmond; British astronomer (1656-1742).
194,137,202,145,1.0,Aleksey Pavlovich; Russian astronomer (1870-1908).
350,153,358,161,1.0,"Pierre; French astronomer, mathematician (1592-1655)."
337,120,345,128,1.0,Jacob; Swiss mathematician (1678-1733).
150,140,158,148,1.0,Casimir Marie; French astronomer (1823-1901).
363,104,371,112,1.0,Joseph Louis; French physicist (1778-1850).
151,58,159,66,1.0,Latin spelling for Greek mythological hero Heracles.
376,170,384,178,1.0,Maximilian; Hungarian astronomer (1720-1792).
356,145,364,153,1.0,"Herigone, Pierre; French mathematician, astronomer (fl. 1634)."
343,82,351,90,1.0,Of Halikarnassus; Greek historian (c. 484-408 B.C.).
344,90,352,98,1.0,Of Halikarnassus; Greek historian (c. 484-408 B.C.).
228,168,236,176,1.0,French writer (1828-1905).
376,133,384,141,1.0,Sir William; German-born British astronomer (1738-1822).
350,38,358,46,1.0,Peder; Danish astronomer (1679-1764).
145,136,153,144,1.0,St. Isidore of Seville; Spanish astronomer and encyclopaedist (c. 560-636).
127,113,135,121,1.0,Caius Julius; Spanish astronomer (fl. first century B.C.).
335,180,343,188,1.0,Sylvestre Francois; French mathematician (1765-1843).
130,112,138,120,1.0,Caius Julius; Spanish astronomer (fl. first century B.C.).
128,115,136,123,1.0,Caius Julius; Spanish astronomer (fl. first century B.C.).
270,81,278,89,1.0,Albert Graham; American optician (1888-1958).
151,192,159,200,1.0,Pierre Jules César; French astronomer (1824-1907).
133,203,141,211,1.0,Karl Gustav Jacob; German mathematician (1804-1851).
142,110,150,118,1.0,"Janszoon, Zacharias; Dutch optician (1580-c. 1638)."
188,110,196,118,1.0,Karl Guthe; American radio engineer (1905-1950).
337,172,345,180,1.0,Sylvestre Francois; French mathematician (1765-1843).
151,189,159,197,1.0,Pierre Jules César; French astronomer (1824-1907).
138,138,146,146,1.0,Immanuel; German philosopher (1724-1804).
158,172,166,180,1.0,"Anton Maria Schyrle of Rhaetia; Czechoslovakian astronomer, optician (c. 1597-1660)."
151,124,159,132,1.0,"Sir John William; British astronomer, mathematician (1803-1865)."
175,139,183,147,1.0,Jacobus Cornelis; Dutch astronomer (1851-1922).
180,129,188,137,1.0,"Abraham Gotthelf; German mathematician, physicist (1719-1800)."
357,163,365,171,1.0,Named for Promontorium Kelvin.
330,145,338,153,1.0,Giovanni Antonio; Italian mathematician (1607-1656).
375,69,383,77,1.0,Gottfried; German astronomer (1639-1710).
136,211,144,219,1.0,Adolph Gottfried; German selenographer (1814-1887).
327,71,335,79,1.0,Antoine Laurent; French chemist (1743-1794).
128,162,136,170,1.0,"Adam Johann, Baron Von; Russian explorer (1770-1846)."
196,200,204,208,1.0,Franz Xaver; German-Babylonian chronologist (1862-1929).
337,176,345,184,1.0,Sylvestre Francois; French mathematician (1765-1843).
337,178,345,186,1.0,Sylvestre Francois; French mathematician (1765-1843).
131,126,139,134,1.0,Heinrich Eduard von; German astronomer (1817-1904).
359,127,367,135,1.0,Philippe van; Belgian astronomer (1561-1632).
361,129,369,137,1.0,Philippe van; Belgian astronomer (1561-1632).
326,67,334,75,1.0,Antoine Laurent; French chemist (1743-1794).
338,79,346,87,1.0,Georg Christoph; German physicist (1742-1799).
160,109,168,117,1.0,James; American benefactor (1796-1876).
372,159,380,167,1.0,Hans (Jan Lapprey); Dutch optician (unkn-1619).
367,197,375,205,1.0,"Christian Sorensen; Danish astronomer, mathematician (1562-1647)."
147,119,155,127,1.0,Nevil; British astronomer (1732-1811).
152,102,160,110,1.0,Sir Charles; Scottish geologist (1797-1875).
136,107,144,115,1.0,Sir Thomas; Irish-born South African astronomer (1794-1879).
127,127,135,135,1.0,Hugo von; German astronomer (1849-1924).
378,196,386,204,1.0,"Magini, Giovanni Antonio; Italian astronomer, mathematician (1555-1617)."
378,100,386,108,1.0,Italian explorer (1254-1324).
346,109,354,117,1.0,"Mayer, Simon; German astronomer (1573-1624)."
343,110,351,118,1.0,"Mayer, Simon; German astronomer (1573-1624)."
359,166,367,174,1.0,Albert; German astronomer (1828-1897).
144,121,152,129,1.0,Nevil; British astronomer (1732-1811).
142,120,150,128,1.0,Nevil; British astronomer (1732-1811).
360,50,368,58,1.0,Pierre Louis Moreau de; French mathematician (1698-1759).
133,178,141,186,1.0,"Maurolico, Francesco; Italian mathematician (1494-1575)."
153,67,161,75,1.0,Matthew Fontaine; American oceanographer (1806-1873); Antonia Caetana de Paiva Pereira; American astronomer (1866-1952).
360,166,368,174,1.0,"Gerard De Kremer (Gerhardus Mercator); Belgian cartographer, geographer, mathematician (1512-1594)."
173,58,181,66,1.0,Mercury; Roman mythical messenger.
376,231,384,239,1.0,"James; Scottish mathematician, optician (1710-1768)."
357,110,365,118,1.0,"Milich, Jacob; German doctor, mathematician, astronomer (1501-1559)."
141,105,149,113,1.0,Gaius Plinius Secundus (The Elder); Roman natural scientist (23-79).
125,179,133,187,1.0,William Allen; British chemist (1817-1870).
377,124,385,132,1.0,Johan Sigismund von; Danish benefactor (1759-1843).
140,213,148,221,1.0,"Vincente Mut, or Muth; Spanish astronomer (unkn-1673)."
150,173,158,181,1.0,"Neumann, Michael; German mathematician (1529-1581)."
148,207,156,215,1.0,Nearchus of Crete; Greek explorer (unkn-fl. 312 B.C.).
126,175,134,183,1.0,Pedro Nuñez Salaciense; Portuguese mathematician (1502-1578).
367,148,375,156,1.0,"Friedrich Wilhelm; German astronomer (1794-1863), Otto Moritz; German astronomer (1829-1912)."
377,180,385,188,1.0,"Oronce Fine (Orontius Finaeus Delphinatus); French mathematician, cartographer (1494-1555)."
369,132,377,140,1.0,William Edward; British explorer (1790-1855).
335,176,343,184,1.0,Giuseppe; Italian astronomer (1746-1826).
378,63,386,71,1.0,Charles; Italian-born Scottish astronomer (1819-1900).
128,126,136,134,1.0,Edward Charles; American astronomer (1846-1919); William H.; American astronomer (1858-1938).
140,160,148,168,1.0,Jean Louis; French astronomer (1761-1831).
377,136,385,144,1.0,"Ptolemy, Claudius; Greek astronomer, mathematician, geographer (c. 87-150)."
124,137,132,145,1.0,"Ptolemy, Claudius; Greek astronomer, mathematician, geographer (c. 87-150)."
352,160,360,168,1.0,Pierre; French astronomer (1855-1928).
366,100,374,108,1.0,"Of Marseilles; Greek navigator, geographer (c. 308 B.C.)."
140,175,148,183,1.0,"Gershon, Levi Ben; French philosopher, mathematician, astronomer (1288-1344)."
124,128,132,136,1.0,René-Antoine Ferchault de; French physicist (1683-1757).
249,106,257,114,1.0,Vojtech; Czechoslovakian astronomer (1829-1902).
340,111,348,119,1.0,"Reinieri, Vincentio; Italian astronomer, mathematician (unkn-1648)."
343,120,351,128,1.0,"Reinieri, Vincentio; Italian astronomer, mathematician (unkn-1648)."
329,144,337,152,1.0,Giovanni Antonio; Italian mathematician (1607-1656).
249,7,257,15,1.0,John Stanley; Canadian astronomer (1865-1941).
152,86,160,94,1.0,Ole; Danish astronomer (1644-1710).
131,129,139,137,1.0,"Samuel Arthur; British mathematician, selenographer (1852-1912)."
339,69,347,77,1.0,Named for Mons Rümker.
140,122,148,130,1.0,"Sir Edward; Irish physicist, astronomer (1788-1883)."
156,154,164,162,1.0,"Daniel Santbech Noviomagus; Dutch mathematician, astronomer (unkn-fl. 1561)."
154,151,162,159,1.0,"Daniel Santbech Noviomagus; Dutch mathematician, astronomer (unkn-fl. 1561)."
151,159,159,167,1.0,"Daniel Santbech Noviomagus; Dutch mathematician, astronomer (unkn-fl. 1561)."
130,127,138,135,1.0,"Samuel Arthur; British mathematician, selenographer (1852-1912)."
377,184,385,192,1.0,Horace Benedict De; Swiss geologist (1740-1799).
361,207,369,215,1.0,Christoph; German astronomer (1573-1650).
337,186,345,194,1.0,"Wilhelm; German astronomer, mathematician (1592-1635)."
156,124,164,132,1.0,"Pietro Angelo; Italian astronomer, astrophysicist (1818-1878)."
139,143,147,151,1.0,Cornelius; Roman historian (c. 55-120).
267,3,275,11,1.0,Dmitriy Sergeevich; Soviet physicist (1876-1940).
249,187,257,195,1.0,Theodore; Hungarian-American aeronautical scientist (1881-1963).
169,124,177,132,1.0,Thomas William; British astronomer (1806-1885).
126,30,134,38,1.0,William Cranch; American astronomer (1789-1859).
143,97,151,105,1.0,French female name.
367,129,375,137,1.0,"Astronaut-named feature, Apollo 14 site."
161,96,169,104,1.0,Albert; German paleontologist (1831-1865).
126,47,134,55,1.0,Named from nearby crater.
131,88,139,96,1.0,George; British Earth scientist (1552-1613).
366,85,374,93,1.0,Hans; German Earth scientist (1876-1966).
337,77,345,85,1.0,Agostino; Italian geologist (1639-1700).
125,128,133,136,1.0,Named from nearby crater.
359,152,367,160,1.0,Named from nearby crater.
142,86,150,94,1.0,Sergei Sergeevich; Soviet Earth scientist (1895-1947).
357,89,365,97,1.0,Greek female name.
354,56,362,64,1.0,Named from terrestrial Jura Mountains.
154,120,162,128,1.0,Named from nearby crater.
334,113,342,121,1.0,"Luna 9 landing site (""plain of descent"")."
160,184,168,192,1.0,Named from nearby crater.
133,97,141,105,1.0,Henry Clifton; British Earth scientist (1826-1908).
198,218,206,226,1.0,Named from nearby crater.
134,96,142,104,1.0,William; British Earth scientist (1784-1856).
158,121,166,129,1.0,Joseph Augustine; American micropaleontologist (1881-1949).
130,89,138,97,1.0,"Paul Werner; American geochemist, geologist (1930-1973)."
169,95,177,103,1.0,Mikhail Mikhailovich; Soviet geologist (1882-1956).
160,122,168,130,1.0,Lucien; French sedimentary petrographer (1864-1944).
188,122,196,130,1.0,Hans; German Earth scientist (1885-1951).
358,78,366,86,1.0,Albert; Swiss Earth scientist (1849-1937).
144,95,152,103,1.0,Spanish female name.
367,84,375,92,1.0,Riad Abdel-Megid; Egyptian Earth scientist (1919-1967).
133,114,141,122,1.0,Named from nearby crater.
345,144,353,152,1.0,Named from nearby crater.
155,125,163,133,1.0,Named from nearby crater.
221,71,229,79,1.0,Named from nearby crater.
222,114,230,122,1.0,Named from nearby crater.
358,88,366,96,1.0,Arabic female name.
300,116,308,124,1.0,Named from nearby crater; GDL=Gas Dynamics Laboratory
145,92,153,100,1.0,Named from nearby crater.
290,129,298,137,1.0,Named from nearby crater; RNII=Rocket Research Institute.
126,54,134,62,1.0,"""Alpine Valley."""
325,188,333,196,1.0,Named from nearby crater.
316,109,324,117,1.0,Named from nearby crater.
321,178,329,186,1.0,"Alexis; French astronomer, mathematician (1767-1843)."
148,134,156,142,1.0,Named from nearby crater.
328,186,336,194,1.0,Named from nearby crater.
299,124,307,132,1.0,Named from nearby crater; GIRD=Group for the Study of Reaction Motion.
357,95,365,103,1.0,French male name.
158,119,166,127,1.0,Named from nearby crater.
370,82,378,90,1.0,Named from nearby crater.
169,161,177,169,1.0,Named from nearby crater.
213,205,221,213,1.0,Named from nearby crater.
358,89,366,97,1.0,Russian male name.
131,89,139,97,1.0,"German female name, part of Aratus CA."
209,116,217,124,1.0,French male name.
145,104,153,112,1.0,William; British crystallographer (1845-1934).
320,10,328,18,1.0,Named from nearby crater.
184,155,192,163,1.0,Named from nearby crater.
328,102,336,110,1.0,Named from nearby crater.
135,147,143,155,1.0,Named from nearby crater.
199,86,207,94,1.0,Named from nearby crater.
373,154,381,162,1.0,Named from nearby crater.
127,97,135,105,1.0,Greek female name.
351,80,359,88,1.0,Walter Herman; American geologist (1889-1965).
354,88,362,96,1.0,Giovanni; Italian Earth scientist (1713-1795).
137,85,145,93,1.0,Felix De; Spanish Earth scientist (1746-1811).
216,124,224,132,1.0,Named from nearby crater.
159,95,167,103,1.0,Francois Felix; French astronomer (1845-1896).
375,139,383,147,1.0,Named from nearby crater.
195,97,203,105,1.0,Named from nearby crater.
160,94,168,102,1.0,Francois Felix; French astronomer (1845-1896).
164,84,172,92,1.0,Within crater.
184,173,192,181,1.0,Niels Henrik; Norwegian mathematician (1802-1829).
159,93,167,101,1.0,Francois Felix; French astronomer (1845-1896).
187,120,195,128,1.0,James Dwight; American Earth scientist (1813-1895).
140,97,148,105,1.0,William; Scottish physicist (1768-1851).
225,186,233,194,1.0,"Graham; United Kingdom-born, American geologist (1949-2002)."
229,12,237,20,1.0,Chinese inventor (c. 990-1051).
352,139,360,147,1.0,William Maurice; American geophysicist (1906-1974).
342,82,350,90,1.0,Paul; Swiss Earth scientist (1888-1953).
144,90,152,98,1.0,Ulisse; Italian Earth scientist (1522-1605).
237,124,245,132,1.0,"Felix Andries; Dutch geophysicist, geodesist (1887-1966)."
162,116,170,124,1.0,Charles Greeley; American astrophysicist (1872-1973).
159,123,167,131,1.0,"Firmanus, Lucius; Roman philosopher (unkn-fl. 86 B.C.)."
132,153,140,161,1.0,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)."
322,51,330,59,1.0,Named from nearby crater.
149,40,157,48,1.0,Within crater.
369,81,377,89,1.0,Amadeus William; American paleontologist (1870-1946).
351,83,359,91,1.0,Émile; Swiss geologist (1879-1940).
204,10,212,18,1.0,Chinese inventor (c. 57-121).
143,95,151,103,1.0,Antonio; Italian astronomer (1846-1928); Giorgio; Italian astronomer (1882-1982).
281,222,289,230,1.0,Chinese astronomer (1902-1986).
248,205,256,213,1.0,"Ernst Karl; German optician, physicist, astronomer (1840-1905)."
206,122,214,130,1.0,"Abū al-Wafā al-Būzajāni; Persian mathematician, astronomer (940-998)."
178,200,186,208,1.0,Carthaginian navigator(unkn-c. 500 B.C.).
161,129,169,137,1.0,Sir Archibald; Scottish geologist (1835-1924).
371,196,379,204,1.0,"Magini, Giovanni Antonio; Italian astronomer, mathematician (1555-1617)."
200,93,208,101,1.0,Aleksandr L'vovich; Soviet rocketry scientist (1907-1961).
279,131,287,139,1.0,Ivan Mikhaylovich; Russian physiologist (1829-1905).
350,56,358,64,1.0,"Abraham; British astronomer, mathematician (1651-1742)."
128,183,136,191,1.0,"Johann; German astronomer, mathematician (1452-1531)."
277,137,285,145,1.0,Ivan Mikhaylovich; Russian physiologist (1829-1905).
215,57,223,65,1.0,Carlos; Argentinean astronomer (1900-1967).
124,134,132,142,1.0,"Ptolemy, Claudius; Greek astronomer, mathematician, geographer (c. 87-150)."
345,56,353,64,1.0,"Abraham; British astronomer, mathematician (1651-1742)."
379,134,387,142,1.0,"Ptolemy, Claudius; Greek astronomer, mathematician, geographer (c. 87-150)."
346,58,354,66,1.0,"Abraham; British astronomer, mathematician (1651-1742)."
247,74,255,82,1.0,Grigorii Abramovich; Soviet astrophysicist (1892-1956).
248,77,256,85,1.0,Grigorii Abramovich; Soviet astrophysicist (1892-1956).
345,45,353,53,1.0,James; British astronomer (1785-1867).
342,43,350,51,1.0,James; British astronomer (1785-1867).
341,42,349,50,1.0,James; British astronomer (1785-1867).
345,42,353,50,1.0,James; British astronomer (1785-1867).
343,45,351,53,1.0,James; British astronomer (1785-1867).
142,189,150,197,1.0,"Lazzaro; Italian natural scientist, biologist (1729-1799)."
144,189,152,197,1.0,"Lazzaro; Italian natural scientist, biologist (1729-1799)."
124,185,132,193,1.0,"Johann; German astronomer, mathematician (1452-1531)."
327,90,335,98,1.0,Otto Wilhelm von; German-born Russian astronomer (1819-1905); Otto; American astronomer (1897-1963); Friedrich Georg Wilhelm von; German-born Russian astronomer (1793-1864).
320,88,328,96,1.0,Otto Wilhelm von; German-born Russian astronomer (1819-1905); Otto; American astronomer (1897-1963); Friedrich Georg Wilhelm von; German-born Russian astronomer (1793-1864).
369,193,377,201,1.0,Thomas; British astronomer (1621-1689).
369,192,377,200,1.0,Thomas; British astronomer (1621-1689).
155,116,163,124,1.0,"Firmanus, Lucius; Roman philosopher (unkn-fl. 86 B.C.)."
366,183,374,191,1.0,"Wilhelm IV, Landgrave of Hesse; German astronomer (1532-1592)."
159,95,167,103,1.0,Francois Felix; French astronomer (1845-1896).
238,127,246,135,1.0,"Felix Andries; Dutch geophysicist, geodesist (1887-1966)."
362,81,370,89,1.0,"Ferdinand; German geologist, mineralogist (1838-1912)."
196,163,204,171,1.0,Johann Daniel; German astronomer (1729-1796).
160,123,168,131,1.0,"Firmanus, Lucius; Roman philosopher (unkn-fl. 86 B.C.)."
162,120,170,128,1.0,"Firmanus, Lucius; Roman philosopher (unkn-fl. 86 B.C.)."
160,123,168,131,1.0,"Firmanus, Lucius; Roman philosopher (unkn-fl. 86 B.C.)."
240,122,248,130,1.0,"Felix Andries; Dutch geophysicist, geodesist (1887-1966)."
238,122,246,130,1.0,"Felix Andries; Dutch geophysicist, geodesist (1887-1966)."
379,158,387,166,1.0,"Georg von; Austrian mathematician, astronomer (1423-1461)."
379,160,387,168,1.0,"Georg von; Austrian mathematician, astronomer (1423-1461)."
379,167,387,175,1.0,"Muller, Johann; German astronomer, mathematician (1436-1476)."
367,138,375,146,1.0,"Jean-Etienne; French geologist, mineralogist (1715-1786)."
151,109,159,117,1.0,Named from nearby crater.
145,78,153,86,1.0,Within crater.
343,86,351,94,1.0,Schröter's Valley.
165,167,173,175,1.0,Named from nearby crater.
172,173,180,181,1.0,Named from nearby crater.
164,107,172,115,1.0,Pierre-Marie; French geologist (1859-1930).
132,90,140,98,1.0,Carl Bernard; German Earth scientist (1808-1879).
379,150,387,158,1.0,Within crater.
342,82,350,90,1.0,Named from nearby Montes.
140,158,148,166,1.0,Named from terrestrial Altai Mountains.
137,131,145,139,1.0,"Al-Fargani, Abu'l-'Abbās Ahmad Ibn Muhammad Ibn Kathīr; Persian astronomer (unkn-c. 840)."
145,95,153,103,1.0,German male name.
140,95,148,103,1.0,"Martin; British stratigrapher, zoologist (1639-1712)."
161,135,169,143,1.0,Douglas; English-Australian Antarctic explorer (1882-1958).
349,138,357,146,1.0,William Walden; American geologist (1898-1974).
203,70,211,78,1.0,Named from nearby crater.
375,122,383,130,1.0,Named from nearby crater.
352,86,360,94,1.0,Named from nearby crater.
379,89,387,97,1.0,Named from nearby Mons.
361,99,369,107,1.0,Named from nearby crater.
354,92,362,100,1.0,Named from nearby crater.
133,71,141,79,1.0,Named from nearby crater.
329,107,337,115,1.0,Named from nearby crater.
341,81,349,89,1.0,Greek female name.
125,97,133,105,1.0,Named from nearby crater.
142,99,150,107,1.0,Named from nearby crater.
162,117,170,125,1.0,Named from nearby crater.
356,80,364,88,1.0,Named from nearby crater.
346,163,354,171,1.0,Named from nearby crater.
